Table,Field,Description
accounts,account,company_name
accounts,sector,industry
accounts,year_established,year_established
accounts,revenue,annual_revenue_(in_millions_of_usd)
accounts,employees,number_of_employees
accounts,office_location,headquarters
accounts,subsidiary_of,parent_company
products,product,product_name
products,series,product_series
products,sales_price,suggested_retail_price
sales_teams,sales_agent,sales_agent
sales_teams,manager,respective_sales_manager
sales_teams,regional_office,regional_office
sales_pipeline,opportunity_id,unique_identifier
sales_pipeline,sales_agent,sales_agent
sales_pipeline,product,product_name
sales_pipeline,account,company_name
sales_pipeline,deal_stage,sales_pipeline_stage_(prospecting_>_engaging_>_won_/_lost)
sales_pipeline,engage_date,"date_in_which_the_""engaging""_deal_stage_was_initiated"
sales_pipeline,close_date,"date_in_which_the_deal_was_""won""_or_""lost"""
sales_pipeline,close_value,revenue_from_the_deal
